Division,HR_PAI,Catchment_PAI,week
Central,7.37848549186133,2.70240779967781,08/01-11/12
North Central,4.88284657428368,3.65019261387887,08/01-11/12
North East,8.40654911838791,4.07596728067619,08/01-11/12
North West,6.82241671372143,4.92615686870733,08/01-11/12
South Central,6.55545323834016,4.02806931738291,08/01-11/12
South East,7.00933546715446,3.71703036420684,08/01-11/12
South West,8.16220238095206,4.29493313974117,08/01-11/12
Central,6.86016213086281,2.57321745815716,08/01-11/04
North Central,4.88284657428368,3.65019261387887,08/01-11/04
North East,8.25799263708584,4.05388728457286,08/01-11/04
North West,6.94875776397553,5.01738199590561,08/01-11/04
South Central,6.41228429557065,3.94009760824171,08/01-11/04
South East,7.14158707974228,3.64150289671933,08/01-11/04
South West,8.36884041591287,4.28134157917236,08/01-11/04
Central,5.48812970469025,2.28730440725081,08/01-08/08
North Central,5.33496199782846,3.41843435268022,08/01-08/08
North East,8.17934508816121,3.10003145290866,08/01-08/08
North West,0,4.20059888029307,08/01-08/08
South Central,4.71591278880593,2.17330780772063,08/01-08/08
South East,9.67766203703712,4.3424922043378,08/01-08/08
South West,4.19770408163249,4.60171407829411,08/01-08/08
Central,0,1.67735656531726,08/09-08/16
North Central,10.6699239956569,5.12765152902032,08/09-08/16
North East,5.11209068010076,5.16671908818109,08/09-08/16
North West,9.26501035196737,5.60079850705743,08/09-08/16
South Central,7.33586433814256,4.50760137897612,08/09-08/16
South East,6.45177469135808,2.57332871368166,08/09-08/16
South West,10.6850649350645,4.39254525655346,08/09-08/16
Central,4.31210191082805,1.19811183236947,08/17-08/24
North Central,0,0,08/17-08/24
North East,5.57682619647355,4.22731561760271,08/17-08/24
North West,5.05364201016402,4.58247150577426,08/17-08/24
South Central,6.00207082211664,4.61004686486194,08/17-08/24
South East,12.9035493827162,5.26362691434884,08/17-08/24
South West,6.29655612244873,1.38051422348823,08/17-08/24
Central,7.54617834394909,3.49449284441096,08/25-09/01
North Central,10.6699239956569,3.41843435268022,08/25-09/01
North East,5.11209068010076,2.58335954409055,08/25-09/01
North West,2.77950310559021,2.52035932817584,08/25-09/01
South Central,7.33586433814256,5.63450172372015,08/25-09/01
South East,9.3843995510663,3.5090846095659,08/25-09/01
South West,13.5618131868127,5.94683050118008,08/25-09/01
Central,16.7692852087758,4.65932379254795,09/02-09/09
North Central,5.33496199782846,5.12765152902032,09/02-09/09
North East,0,5.16671908818109,09/02-09/09
North West,3.97071872227173,1.80025666298275,09/02-09/09
South Central,11.7897819720148,5.79548748725501,09/02-09/09
South East,9.92580721747397,3.56307052663614,09/02-09/09
South West,3.39045329670316,3.71676906323755,09/02-09/09
Central,0,0,09/10-09/17
North Central,0,3.41843435268022,09/10-09/17
North East,9.02133649429545,2.73532187021352,09/10-09/17
North West,9.26501035196737,4.90069869367525,09/10-09/17
South Central,0,2.8977437436275,09/10-09/17
South East,1.84336419753088,3.30856548901927,09/10-09/17
South West,6.29655612244873,3.45128555872058,09/10-09/17
Central,6.03694267515927,3.35471313063452,09/18-09/25
North Central,7.11328266377128,4.55791247024029,09/18-09/25
North East,13.1453760345448,4.42861636129808,09/18-09/25
North West,4.63250517598368,5.25074860036634,09/18-09/25
South Central,6.00207082211664,2.76602811891716,09/18-09/25
South East,7.03829966329972,2.10545076573954,09/18-09/25
South West,0,4.29493313974117,09/18-09/25
Central,0,1.19811183236947,09/26-10/03
North Central,0,3.41843435268022,09/26-10/03
North East,18.4035264483627,6.20006290581731,09/26-10/03
North West,3.08833678398912,2.80039925352872,09/26-10/03
South Central,4.12642369020519,3.16940721959258,09/26-10/03
South East,4.69219977553315,2.80726768765272,09/26-10/03
South West,12.5931122448975,4.14154267046469,09/26-10/03
Central,6.7077140835103,2.79559427552877,10/04-10/11
North Central,4.57282456956725,1.46504329400581,10/04-10/11
North East,15.3362720403023,4.84379914516977,10/04-10/11
North West,18.5300207039347,9.8013973873505,10/04-10/11
South Central,18.3396608453564,6.76140206846418,10/04-10/11
South East,2.34609988776657,2.10545076573954,10/04-10/11
South West,5.87678571428548,3.22119985480587,10/04-10/11
Central,8.23219455703537,2.28730440725081,10/12-10/19
North Central,0,0,10/12-10/19
North East,13.632241813602,6.02783893621127,10/12-10/19
North West,9.26501035196737,7.00099813382179,10/12-10/19
South Central,2.06321184510259,2.53552577567407,10/12-10/19
South East,5.16141975308646,4.11732594189065,10/12-10/19
South West,11.0189732142853,4.83179978220881,10/12-10/19
Central,10.0615711252655,2.79559427552877,10/20-10/27
North Central,0,10.2553030580406,10/20-10/27
North East,0,3.22919943011318,10/20-10/27
North West,4.63250517598368,6.30089832043961,10/20-10/27
South Central,5.50189825360692,5.07105155134813,10/20-10/27
South East,4.69219977553315,4.21090153147908,10/20-10/27
South West,8.81517857142823,3.86543982576705,10/20-10/27
Central,12.0738853503185,3.35471313063452,10/28-11/04
North Central,6.40195439739415,4.10212122321626,10/28-11/04
North East,10.2241813602015,4.52087920215846,10/28-11/04
North West,5.55900621118042,5.04071865635169,10/28-11/04
South Central,9.90341685649245,4.05684124107851,10/28-11/04
South East,6.45177469135808,3.85999307052249,10/28-11/04
South West,22.0379464285706,7.24769967331322,10/28-11/04
Central,30.1847133757964,8.38678282658631,11/05-11/12
North Central,,,11/05-11/12
North East,12.2690176322418,4.65004717936298,11/05-11/12
North West,0,0,11/05-11/12
South Central,16.5056947608208,10.1421031026963,11/05-11/12
South East,0,7.71998614104497,11/05-11/12
South West,0,4.83179978220881,11/05-11/12
