Division,HR_PAI,Catchment_PAI,week
Central,5.86924982307152,2.44614499108767,08/01-10/19
North Central,5.22608522236257,3.55796228544267,08/01-10/19
North East,8.62665302267003,4.11722927339431,08/01-10/19
North West,7.0286285428718,4.9248400665505,08/01-10/19
South Central,6.48438008460815,3.98439764748782,08/01-10/19
South East,8.20225619676531,3.65053608219956,08/01-10/19
South West,7.45401129201651,4.26335274900777,08/01-10/19
Central,6.21449981266396,2.59003587291636,08/01-10/11
North Central,5.33496199782846,3.63208649972273,08/01-10/11
North East,8.33493045668602,3.95927930126921,08/01-10/11
North West,7.03247773703547,4.85852400612211,08/01-10/11
South Central,6.9166720902487,4.05684124107851,08/01-10/11
South East,8.24981026108082,3.60687877081609,08/01-10/11
South West,7.29074919441432,4.21420131380618,08/01-10/11
Central,5.48812970469025,2.28730440725081,08/01-08/08
North Central,5.33496199782846,3.41843435268022,08/01-08/08
North East,8.76358402302987,2.7678852258113,08/01-08/08
North West,0,4.20059888029307,08/01-08/08
South Central,7.07386918320889,2.8977437436275,08/01-08/08
South East,9.10838779956435,4.08705148643557,08/01-08/08
South West,4.19770408163249,4.60171407829411,08/01-08/08
Central,0,1.67735656531726,08/09-08/16
North Central,10.6699239956569,5.12765152902032,08/09-08/16
North East,5.11209068010076,5.16671908818109,08/09-08/16
North West,10.4231366459633,6.30089832043961,08/09-08/16
South Central,7.33586433814256,4.50760137897612,08/09-08/16
South East,7.94064577397918,2.96922543886345,08/09-08/16
South West,10.6850649350645,4.39254525655346,08/09-08/16
Central,4.31210191082805,1.19811183236947,08/17-08/24
North Central,0,0,08/17-08/24
North East,5.57682619647355,4.22731561760271,08/17-08/24
North West,5.05364201016402,4.58247150577426,08/17-08/24
South Central,6.00207082211664,4.61004686486194,08/17-08/24
South East,13.5180041152265,5.51427581503212,08/17-08/24
South West,4.89732142857124,3.22119985480587,08/17-08/24
Central,7.54617834394909,3.49449284441096,08/25-09/01
North Central,10.6699239956569,3.41843435268022,08/25-09/01
North East,2.78841309823678,2.11365780880136,08/25-09/01
North West,3.08833678398912,2.80039925352872,08/25-09/01
South Central,7.33586433814256,5.63450172372015,08/25-09/01
South East,9.3843995510663,3.5090846095659,08/25-09/01
South West,13.5618131868127,5.94683050118008,08/25-09/01
Central,15.0923566878982,4.19339141329315,09/02-09/09
North Central,5.33496199782846,5.12765152902032,09/02-09/09
North East,0,5.16671908818109,09/02-09/09
North West,4.63250517598368,2.10029944014654,09/02-09/09
South Central,11.7897819720148,5.79548748725501,09/02-09/09
South East,9.92580721747397,3.56307052663614,09/02-09/09
South West,6.29655612244873,4.83179978220881,09/02-09/09
Central,0,0,09/10-09/17
North Central,0,3.41843435268022,09/10-09/17
North East,10.8256037931545,3.19120884858244,09/10-09/17
North West,8.17500913408885,5.18897508742085,09/10-09/17
South Central,0,3.12064710852193,09/10-09/17
South East,5.16141975308646,3.85999307052249,09/10-09/17
South West,6.29655612244873,3.45128555872058,09/10-09/17
Central,6.03694267515927,3.35471313063452,09/18-09/25
North Central,7.11328266377128,4.55791247024029,09/18-09/25
North East,14.1565588064329,4.76927915832101,09/18-09/25
North West,4.63250517598368,5.25074860036634,09/18-09/25
South Central,6.00207082211664,2.76602811891716,09/18-09/25
South East,7.37345679012352,2.75713790751606,09/18-09/25
South West,0,3.86543982576705,09/18-09/25
Central,0,1.04834785332329,09/26-10/03
North Central,0,2.93008658801161,09/26-10/03
North East,23.0044080604534,5.81255897420373,09/26-10/03
North West,3.47437888198776,1.5752245801099,09/26-10/03
South Central,4.12642369020519,3.16940721959258,09/26-10/03
South East,4.69219977553315,2.10545076573954,09/26-10/03
South West,16.5284598214279,4.83179978220881,09/26-10/03
Central,7.54617834394909,3.14504355996987,10/04-10/11
North Central,5.33496199782846,1.70921717634011,10/04-10/11
North East,8.76358402302987,5.5357704516226,10/04-10/11
North West,18.5300207039347,9.8013973873505,10/04-10/11
South Central,16.5056947608208,5.07105155134813,10/04-10/11
South East,2.15059156378603,2.57332871368166,10/04-10/11
South West,0,1.75701810262139,10/04-10/11
Central,0,0,10/12-10/19
North Central,0,0,10/12-10/19
North East,15.3362720403023,7.75007863227164,10/12-10/19
North West,6.94875776397553,6.30089832043961,10/12-10/19
South Central,0,2.8977437436275,10/12-10/19
South East,7.37345679012352,4.4114206520257,10/12-10/19
South West,14.6919642857137,6.44239970961175,10/12-10/19
